config,recording_id,segment_id,n_kept,offset_cent,range_compression,contour_correlation
shift-20ms,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3745,-0.5000
shift+20ms,ath-1973,seg_p07_m5,6,-30.169,0.7803,0.7000
shift+20ms,ath-1973,seg_p07_m8,7,-0.169,1.0600,0.9241
shift+20ms,ath-1973,seg_p07_m13,4,-20.169,1.4278,0.8660
shift+20ms,ath-1973,seg_p07_m18b6_m19b5,6,-45.169,1.1208,0.9487
shift+20ms,hul-2012,seg_p07_m5,5,29.831,0.7377,0.8000
shift+20ms,hul-2012,seg_p07_m8,5,-0.169,1.1455,0.9487
shift+20ms,hul-2012,seg_p07_m13,4,-60.169,1.0536,0.8660
shift+20ms,hul-2012,seg_p07_m18b6_m19b5,6,-82.669,1.4304,0.9000
shift+20ms,bou-1961,seg_p07_m5,5,-540.169,0.7208,1.0000
shift+20ms,bou-1961,seg_p07_m8,5,-790.169,0.7395,0.6325
shift+20ms,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
shift+20ms,bou-1961,seg_p07_m18b6_m19b5,6,-927.669,1.3110,0.8208
shift+20ms,bou-1977,seg_p07_m5,6,-10.169,0.9887,1.0000
shift+20ms,bou-1977,seg_p07_m8,7,-0.169,1.0484,0.9411
shift+20ms,bou-1977,seg_p07_m13,4,-55.169,1.1185,0.8660
shift+20ms,bou-1977,seg_p07_m18b6_m19b5,7,-40.169,1.0333,0.9710
shift+20ms,her-1991,seg_p07_m5,5,-360.169,0.8077,1.0000
shift+20ms,her-1991,seg_p07_m8,5,-290.169,0.5469,0.8333
shift+20ms,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
shift+20ms,her-1991,seg_p07_m18b6_m19b5,4,-70.169,1.3641,-0.5000
shift+50ms,ath-1973,seg_p07_m5,6,-30.169,0.7912,0.7000
shift+50ms,ath-1973,seg_p07_m8,7,9.831,1.0593,0.9411
shift+50ms,ath-1973,seg_p07_m13,4,-25.169,1.4314,0.8660
shift+50ms,ath-1973,seg_p07_m18b6_m19b5,7,-30.169,0.9635,0.9710
shift+50ms,hul-2012,seg_p07_m5,5,29.831,0.7313,0.8000
shift+50ms,hul-2012,seg_p07_m8,5,-0.169,1.1581,0.9487
shift+50ms,hul-2012,seg_p07_m13,4,-60.169,1.0536,0.8660
shift+50ms,hul-2012,seg_p07_m18b6_m19b5,6,-87.669,1.4302,0.9000
shift+50ms,bou-1961,seg_p07_m5,5,-535.169,0.7489,1.0000
shift+50ms,bou-1961,seg_p07_m8,5,-790.169,0.7345,0.6325
shift+50ms,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
shift+50ms,bou-1961,seg_p07_m18b6_m19b5,6,-937.669,1.2130,0.6669
shift+50ms,bou-1977,seg_p07_m5,6,-15.169,0.9853,1.0000
shift+50ms,bou-1977,seg_p07_m8,7,-0.169,1.0416,0.9411
shift+50ms,bou-1977,seg_p07_m13,4,-55.169,1.1232,0.8660
shift+50ms,bou-1977,seg_p07_m18b6_m19b5,7,-70.169,1.0279,0.9710
shift+50ms,her-1991,seg_p07_m5,5,-360.169,0.8104,1.0000
shift+50ms,her-1991,seg_p07_m8,5,-290.169,0.5477,0.6325
shift+50ms,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
shift+50ms,her-1991,seg_p07_m18b6_m19b5,5,-100.169,1.5709,-0.8000
jitterU30ms-seed1,ath-1973,seg_p07_m5,6,-35.169,0.7810,0.9000
jitterU30ms-seed1,ath-1973,seg_p07_m8,7,-0.169,1.1074,0.6983
jitterU30ms-seed1,ath-1973,seg_p07_m13,4,-15.169,1.4244,0.8660
jitterU30ms-seed1,ath-1973,seg_p07_m18b6_m19b5,7,-30.169,0.9508,0.9710
jitterU30ms-seed1,hul-2012,seg_p07_m5,5,19.831,0.7262,0.8000
jitterU30ms-seed1,hul-2012,seg_p07_m8,5,-0.169,1.1455,0.9487
jitterU30ms-seed1,hul-2012,seg_p07_m13,4,-60.169,1.0469,0.8660
jitterU30ms-seed1,hul-2012,seg_p07_m18b6_m19b5,6,-80.169,1.4305,0.9000
jitterU30ms-seed1,bou-1961,seg_p07_m5,5,-540.169,0.7023,1.0000
jitterU30ms-seed1,bou-1961,seg_p07_m8,5,-790.169,0.7395,0.6325
jitterU30ms-seed1,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
jitterU30ms-seed1,bou-1961,seg_p07_m18b6_m19b5,6,-930.169,1.3139,0.8208
jitterU30ms-seed1,bou-1977,seg_p07_m5,6,-10.169,0.9900,1.0000
jitterU30ms-seed1,bou-1977,seg_p07_m8,7,-0.169,1.0459,0.9411
jitterU30ms-seed1,bou-1977,seg_p07_m13,4,-55.169,1.1162,0.8660
jitterU30ms-seed1,bou-1977,seg_p07_m18b6_m19b5,6,-30.169,1.0367,0.9487
jitterU30ms-seed1,her-1991,seg_p07_m5,5,-360.169,0.8077,1.0000
jitterU30ms-seed1,her-1991,seg_p07_m8,5,-290.169,0.5469,0.8333
jitterU30ms-seed1,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
jitterU30ms-seed1,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3691,-0.5000
jitterU30ms-seed2,ath-1973,seg_p07_m5,6,-42.669,0.7741,0.7000
jitterU30ms-seed2,ath-1973,seg_p07_m8,7,-0.169,1.1477,0.6983
jitterU30ms-seed2,ath-1973,seg_p07_m13,4,-17.669,1.4261,0.8660
jitterU30ms-seed2,ath-1973,seg_p07_m18b6_m19b5,6,-45.169,1.0904,0.9487
jitterU30ms-seed2,hul-2012,seg_p07_m5,5,24.831,0.7440,0.8000
jitterU30ms-seed2,hul-2012,seg_p07_m8,5,-0.169,1.1540,0.9487
jitterU30ms-seed2,hul-2012,seg_p07_m13,4,-62.669,1.0487,0.8660
jitterU30ms-seed2,hul-2012,seg_p07_m18b6_m19b5,6,-80.169,1.4305,0.9000
jitterU30ms-seed2,bou-1961,seg_p07_m5,5,-540.169,0.7254,1.0000
jitterU30ms-seed2,bou-1961,seg_p07_m8,5,-790.169,0.7517,0.6325
jitterU30ms-seed2,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
jitterU30ms-seed2,bou-1961,seg_p07_m18b6_m19b5,6,-925.169,1.3056,0.8208
jitterU30ms-seed2,bou-1977,seg_p07_m5,6,-10.169,0.9933,1.0000
jitterU30ms-seed2,bou-1977,seg_p07_m8,7,4.831,1.0388,0.9411
jitterU30ms-seed2,bou-1977,seg_p07_m13,4,-57.669,1.1248,0.8660
jitterU30ms-seed2,bou-1977,seg_p07_m18b6_m19b5,6,-30.169,1.0309,0.9487
jitterU30ms-seed2,her-1991,seg_p07_m5,6,-375.169,0.7390,1.0000
jitterU30ms-seed2,her-1991,seg_p07_m8,5,-290.169,0.5465,0.9487
jitterU30ms-seed2,her-1991,seg_p07_m13,4,-347.669,0.8086,0.0000
jitterU30ms-seed2,her-1991,seg_p07_m18b6_m19b5,4,-70.169,1.3641,-0.5000
jitterU30ms-seed3,ath-1973,seg_p07_m5,6,-42.669,0.7670,0.7000
jitterU30ms-seed3,ath-1973,seg_p07_m8,7,4.831,1.0766,0.9241
jitterU30ms-seed3,ath-1973,seg_p07_m13,4,-20.169,1.4278,0.8660
jitterU30ms-seed3,ath-1973,seg_p07_m18b6_m19b5,6,-45.169,0.9994,0.9487
jitterU30ms-seed3,hul-2012,seg_p07_m5,5,24.831,0.7265,0.8000
jitterU30ms-seed3,hul-2012,seg_p07_m8,5,-0.169,1.1497,0.9487
jitterU30ms-seed3,hul-2012,seg_p07_m13,4,-62.669,1.0487,0.8660
jitterU30ms-seed3,hul-2012,seg_p07_m18b6_m19b5,6,-82.669,1.4304,0.9000
jitterU30ms-seed3,bou-1961,seg_p07_m5,5,-540.169,0.7187,1.0000
jitterU30ms-seed3,bou-1961,seg_p07_m8,5,-790.169,0.7517,0.6325
jitterU30ms-seed3,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
jitterU30ms-seed3,bou-1961,seg_p07_m18b6_m19b5,6,-925.169,1.3118,0.8208
jitterU30ms-seed3,bou-1977,seg_p07_m5,6,-10.169,0.9944,1.0000
jitterU30ms-seed3,bou-1977,seg_p07_m8,7,-0.169,1.0484,0.9411
jitterU30ms-seed3,bou-1977,seg_p07_m13,4,-55.169,1.1185,0.8660
jitterU30ms-seed3,bou-1977,seg_p07_m18b6_m19b5,7,-40.169,1.0333,0.9710
jitterU30ms-seed3,her-1991,seg_p07_m5,5,-360.169,0.8077,1.0000
jitterU30ms-seed3,her-1991,seg_p07_m8,5,-290.169,0.5465,0.9487
jitterU30ms-seed3,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
jitterU30ms-seed3,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3691,-0.5000
